image_id,entity_f1,relation_f1,graph_score
image_0196,0.0,0.0,0.0
image_0971,0.2857,0.2,0.2429
image_0993,0.0,0.0,0.0
image_10231,0.3077,0.0,0.1538
image_10244,0.0,0.0,0.0
image_10378,0.25,0.0,0.125
image_10536,0.3,0.0,0.15
image_10769,0.0,0.0,0.0
image_11018,0.3333,0.0,0.1666
image_11082,0.0,0.0,0.0
image_11178,0.2,0.0,0.1
image_11188,0.6667,0.0,0.3333
image_11405,0.3077,0.0,0.1538
image_11487,0.2222,0.0,0.1111
image_11504,0.4444,0.0,0.2222
image_12054,0.0,0.0,0.0
image_12092,0.4,0.0,0.2
image_12101,0.2609,0.1053,0.1831
image_12114,0.25,0.2,0.225
image_1227,0.2105,0.0,0.1052
image_14735,0.0,0.0,0.0
image_14858,0.0,0.0,0.0
image_15771,0.3529,0.2,0.2764
image_16147,0.4286,0.0,0.2143
image_16248,0.0,0.0,0.0
image_16710,0.0,0.0,0.0
image_16841,0.0,0.0,0.0
image_16883,0.0,0.0,0.0
image_16950,0.0,0.0,0.0
image_17233,0.0,0.0,0.0
image_17664,0.0,0.0,0.0
image_17892,0.5,0.0,0.25
image_18336,0.0,0.0,0.0
image_18917,0.75,0.0,0.375
image_18946,0.2353,0.0,0.1177
image_19228,0.0,0.0,0.0
image_19527,0.0,0.0,0.0
image_19959,0.2,0.0,0.1
image_20101,1.0,1.0,1.0
image_20520,0.0,0.0,0.0
image_20713,0.2857,0.0,0.1429
image_20988,0.1333,0.0,0.0667
image_21001,0.5556,0.2,0.3778
image_21626,0.4348,0.1176,0.2762
image_22145,0.0,0.0,0.0
image_22336,0.3333,0.2,0.2666
image_22435,0.0,0.0,0.0
image_2275,0.2857,0.0,0.1429
image_23555,1.0,1.0,1.0
image_2362,0.0,0.0,0.0
image_23733,0.6667,0.0,0.3333
image_23747,0.5,0.4,0.45
image_23791,0.5714,0.1818,0.3766
image_24096,0.0,0.0,0.0
image_2445,0.3077,0.5,0.4038
image_24663,0.0,0.0,0.0
image_24978,0.0,0.0,0.0
image_25123,0.0909,0.0,0.0454
image_25545,0.4615,0.3333,0.3974
image_25674,0.0,0.0,0.0
image_26052,0.0,0.0,0.0
image_26675,1.0,1.0,1.0
image_26935,0.1818,0.0,0.0909
image_28422,0.0,0.0,0.0
image_28431,0.0,0.0,0.0
image_28449,0.0,0.0,0.0
image_28455,1.0,1.0,1.0
image_28458,0.0,0.0,0.0
image_28581,0.125,0.0,0.0625
image_29263,0.2857,0.125,0.2054
image_29659,0.4286,0.2857,0.3571
image_3132,0.1,0.0,0.05
image_3189,0.3333,0.0,0.1666
image_3448,0.0,0.0,0.0
image_4253,0.0,0.0,0.0
image_4410,0.1538,0.0,0.0769
image_4569,0.75,1.0,0.875
image_4696,0.0,0.0,0.0
image_4810,0.0,0.0,0.0
image_5128,0.0,0.0,0.0
image_5386,0.0,0.0,0.0
image_5688,0.1739,0.0,0.0869
image_5771,0.4,0.4,0.4
image_6502,0.4,0.0,0.2
image_6526,0.5455,0.0,0.2727
image_6633,0.0,0.0,0.0
image_6909,0.3,0.0,0.15
image_6918,0.6667,0.0,0.3333
image_6925,0.8,0.0,0.4
image_7563,0.0,0.0,0.0
image_7800,1.0,1.0,1.0
image_7840,0.5882,0.0,0.2941
image_8144,0.0,0.0,0.0
image_8409,0.2857,0.1538,0.2198
image_8478,0.0,0.0,0.0
image_8525,0.8571,0.0,0.4285
image_8925,0.0,0.0,0.0
image_8969,0.2857,0.0,0.1429
image_9048,0.0,0.0,0.0
image_9406,0.0,0.0,0.0
